planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_radius_earth,planet_mass_earth,planet_mass_jupiter,sy_dist
11 Com b,1,Radial Velocity,2007,Published Confirmed,0,323.21,1.178,,4914.89848585,15.464,93.1846
11 UMi b,1,Radial Velocity,2009,Published Confirmed,0,516.21997,1.53,,4684.8142,14.74,125.321
14 And b,1,Radial Velocity,2008,Published Confirmed,0,186.76,0.775,,1131.15130051,3.559,75.4392
14 Her b,1,Radial Velocity,2002,Published Confirmed,0,,2.839,,2828.6728223,8.9,17.9323
16 Cyg B b,1,Radial Velocity,1996,Published Confirmed,0,798.5,1.66,,565.7374,1.78,21.1397
17 Sco b,1,Radial Velocity,2020,Published Confirmed,0,578.38,1.45,,1373.01871824,4.32,124.953
18 Del b,1,Radial Velocity,2008,Published Confirmed,0,982.85,2.476,,2926.24614325,9.207,76.222
1RXS J160929.1-210524 b,1,Imaging,2008,Published Confirmed,0,,330.0,,3000.0,8.0,139.135
24 Boo b,1,Radial Velocity,2018,Published Confirmed,0,30.33,0.194,,280.64248338,0.883,95.9863
24 Sex b,1,Radial Velocity,2010,Published Confirmed,0,452.8,1.333,,632.46,1.99,72.0691
24 Sex c,1,Radial Velocity,2010,Published Confirmed,0,883.0,2.08,,273.32,0.86,72.0691
2M0437 b,1,Imaging,2021,Published Confirmed,0,,118.0,,1271.313628,4.0,128.484
2MASS J01033563-5515561 AB b,1,Imaging,2013,Published Confirmed,0,,84.0,,4131.79,13.0,
2MASS J01225093-2439505 b,1,Imaging,2013,Published Confirmed,0,,52.0,,7786.5,24.5,33.8281
2MASS J02192210-3925225 b,1,Imaging,2015,Published Confirmed,0,,156.0,16.14096,4417.837,13.9,
2MASS J0249-0557 c,1,Imaging,2018,Published Confirmed,0,,,17.37392009,3616.88727166,11.38,66.0613
2MASS J03590986+2009361 b,1,Imaging,2024,Published Confirmed,0,,572.0,,5720.911326,18.0,117.435
2MASS J04414489+2301513 b,1,Imaging,2010,Published Confirmed,0,,15.0,,2383.6,7.5,
2MASS J11011926-7732383 b,1,Imaging,2024,Published Confirmed,0,,266.0,,8899.195396,28.0,
2MASS J11550485-7919108 b,1,Imaging,2024,Published Confirmed,0,,587.0,,6356.56814,20.0,100.862
2MASS J12073346-3932539 b,1,Imaging,2004,Published Confirmed,0,,,15.69257298,1652.7077164,5.2,64.308
2MASS J19383260+4603591 b,1,Eclipse Timing Variations,2015,Published Confirmed,0,406.0,,,591.16083702,1.86,396.332
2MASS J21252752-8138278 b,1,Imaging,2024,Published Confirmed,0,,7493.0,,3813.940884,12.0,34.1154
2MASS J22362452+4751425 b,1,Imaging,2016,Published Confirmed,0,,230.0,,3972.875,12.5,69.5737
2MASS J22501512+2325342 b,1,Imaging,2018,Published Confirmed,0,,518.0,,9534.85221,30.0,57.2309
4 UMa b,1,Radial Velocity,2006,Published Confirmed,0,270.27,0.877,,2511.48007211,7.902,73.4603
47 UMa b,1,Radial Velocity,1996,Published Confirmed,0,1078.0,2.1,,804.08,2.53,13.7967
47 UMa c,1,Radial Velocity,2001,Published Confirmed,0,2391.0,3.6,,171.621,0.54,13.7967
47 UMa d,1,Radial Velocity,2009,Published Confirmed,0,14002.0,11.6,,521.22,1.64,13.7967
51 Eri b,1,Imaging,2015,Published Confirmed,0,9100.0,10.4,,3464.3296363,10.9,29.7575
51 Peg b,1,Radial Velocity,1995,Published Confirmed,0,4.2307966,0.052,,193.87532827,0.61,15.4614
55 Cnc B b,1,Radial Velocity,2025,Published Confirmed,0,6.7994,0.044,,3.5,0.01101223,12.4773
55 Cnc B c,1,Radial Velocity,2025,Published Confirmed,0,33.747,0.13,,5.3,0.01667566,12.4773
55 Cnc b,1,Radial Velocity,1996,Published Confirmed,0,14.651552,0.118,,276.0,0.86839311,12.5855
